Time,theta,w_y__b,phi,w_x__b,v_x__b,v_y__b,v_z__b,k11,k12,k13,k14,k15,k16,k17,k21,k22,k23,k24,k25,k26,k27,k31,k32,k33,k34,k35,k36,k37
34.300000000000004,-0.027723011422795422,-0.0015213048148659,0.017216846595238682,0.01965765873078953,0.008307852599588788,0.05094860930921209,0.012957108556293064,17.557611162959123,52.21164564795152,0.8664811510209331,2.024442989688435,1.3700453107862491,0.030551468522816955,0.03348465684655849,-0.8741170962162365,-2.041574769717419,-12.45089206751599,-40.20836484198972,0.03086568273717341,1.551273904241812,0.20370173246488835,0.7162267688540974,7.729446553296064,-4.367978666538337,-46.74216579599144,-0.12124303189643346,-0.7324492601392433,2.345816068647913
34.35,-0.027799121337042477,-0.0013122686322813788,0.018199675744200866,0.019520044146851427,0.007864094743779896,0.04936225128755748,0.01213981276102196,17.86945756590852,51.435425861618036,0.8934924133494906,1.8922447145609222,1.3802577860706466,0.028413703189795015,0.03143301793797432,-0.9015937075148718,-1.910586474154332,-12.483394874020432,-39.94392083520174,0.028750109656070433,1.5529297652202714,0.19554512462813037,0.6724878722631332,7.6017788639586055,-4.19580189359317,-46.96018965753522,-0.12015893314656528,-0.7414472500527595,2.3359473183632735
34.4,-0.027864781372862937,-0.0011016798129419862,0.01917562335819988,0.019377980951587753,0.007499711914298715,0.04769736765814144,0.01128843132872713,18.21611682255395,50.52703925252928,0.9329630735699703,1.7681740545110054,1.3928063002266458,0.026348259408522316,0.02967534733803001,-0.941545493702337,-1.788100065416149,-12.527830719353275,-39.645809583448845,0.026713722650008435,1.5551160144378857,0.1868613505163018,0.634124995168064,7.555134153815097,-4.006915778733964,-47.1787920826691,-0.12038070385357649,-0.7507789533196078,2.3255659322652433
34.45,-0.02791991357726931,-0.0008893747882714965,0.020144467055724778,0.019231906561969835,0.007226061171909092,0.04593323598475965,0.010393384659528769,18.60431800023682,49.45094249851206,0.9902111805119128,1.6507777508291275,1.408322619816575,0.02431291827585006,0.028237932769763992,-0.999289204236804,-1.6727707595469348,-12.588459988814362,-39.30258288851936,0.02471629235279419,1.558020791618543,0.17752086134004114,0.6014863817043827,7.615017817577429,-3.7972735161778424,-47.39712163803644,-0.1223600269842376,-0.7605081546597215,2.3145265324559037
34.5,-0.027964431790199813,-0.0006751113532248524,0.021106006314753865,0.019082463547639403,0.0070589573783431826,0.044038443053363366,0.009440057356044711,19.04334681874005,48.1536259050938,1.073518049732546,1.5361095346185425,1.4277550436703925,0.022211508003324658,0.0271511388096962,-1.0831038238217874,-1.5608156162138507,-12.672094661881742,-38.8962797734738,0.022664642587422894,1.5619420296529838,0.16732674121516863,0.5747996235087378,7.819564392212804,-3.560852646111185,-47.61309352164881,-0.12677771806137036,-0.7707173070716352,2.3026153333925685
34.550000000000004,-0.027998237716351352,-0.00045851444425873395,0.02206007272662829,0.018930646617617806,0.007021685622264115,0.04196308541904298,0.008405048237247578,19.54654302207409,46.54927438267937,1.1964824078063152,1.414822932361244,1.4526224482408965,0.019833708780787572,0.026448626814735365,-1.2065835702096048,-1.4431510167745631,-12.790466181422524,-38.39643628178856,0.02035327456864474,1.5673921328975629,0.15596419332392705,0.5539430797589111,8.22949519816315,-3.288195450539337,-47.82180956186915,-0.13472683650843106,-0.781509513106714,2.2895016634562926
34.6,-0.028021214287229264,-0.0002389699018897708,0.023006547597019558,0.01877809911562561,0.007150895870564439,0.03962295275068948,0.00724846110095982,20.133754280085643,44.48885378564172,1.3830517086480911,1.264813209364948,1.485564298317558,0.016704993451602812,0.026160464436380426,-1.393666220910792,-1.2981330385738623,-12.965786973351047,-37.74584443804295,0.01731611289976631,1.5753517521334917,0.14289652393551253,0.5377962215796935,8.949704944405818,-2.96343097535484,-48.01135656535011,-0.14811282907233442,-0.7929952140399553,2.274640969236425
34.65,-0.028033213713787718,-1.5398991905099334e-05,0.023945394367273547,0.01862777295579501,0.007509106756793937,0.036864141225157125,0.005896340271236366,20.834566288961344,41.68569836983679,1.6794216518434664,1.0298807756992954,1.53167088407096,0.011657760963791114,0.026279525286416125,-1.6905237747588695,-1.0704672513580684,-13.245737548741433,-36.821207631095454,0.012402158074952036,1.5879860839498454,0.12712853421911036,0.5221644947317867,10.182137339512872,-2.5576262983666687,-48.149826313520144,-0.1706439158901746,-0.805199141367136,2.257062154640357
34.7,-0.028034034270222365,0.0002142701780562551,0.024876724023219766,0.0184856001518254,0.008214019330175116,0.03337297949500736,0.004194842343342508,21.685466689791273,37.510300652180064,2.185403225632878,0.5458181181281796,1.602169868750909,0.0013661437594925457,0.026598796413628896,-2.1968987211018076,-0.5980315859085,-13.752140075226547,-35.298887293726516,0.00232379169389655,1.611146065906853,0.10659691744824755,0.4919600559997259,12.378831172782157,-2.012386770625844,-48.13558826719007,-0.21073782555143017,-0.8175218953124403,2.2348444780574748
34.75,-0.02802337066039556,0.00045450206582048,0.02580094405855417,0.01836555842643967,0.009516184539566208,0.028401779334779307,0.0017657180301699112,22.647065500594355,30.335113460113725,3.1390773868522963,-0.7806276749992842,1.7262327427883082,-0.025930573953574693,0.0257636213698495,-3.150628195930493,0.7063087842693073,-14.886059239247022,-32.0243039546199,-0.02456749015124628,1.6663986957960983,0.07635948774180035,0.38383796727111447,16.806354291789177,-1.1974270077395255,-47.53125761830356,-0.2924549697655804,-0.8249704767335887,2.2036369576484183
34.800000000000004,-0.028000694445166837,0.0007163339237036953,0.026719160660538335,0.018309805193100475,0.012031626557930806,0.019674167802594345,-0.0026025816411813004,22.5604188909566,15.661856348387955,4.815914689031493,-5.480612184060335,1.984072996277355,-0.11926678952772272,0.013135524420802213,-4.826157937290688,5.347386311082908,-18.486329228243193,-20.075456753888147,-0.1168232919496116,1.8872706105713462,0.023694061234023917,-0.14956237543340034,28.493452843064883,0.1012097296670279,-42.99888469844221,-0.5145480072231868,-0.774120972145967,2.1522317288236787
34.85,-0.027964925553391685,0.0010243918401306492,0.027634587419242997,0.018515363186687284,0.017146826780814983,-0.0035258323676102855,-0.015212132832341902,14.847142535674266,-15.146806925412557,-1.6531550254419995,7.271417850272425,2.54388060967671,0.1501383861306928,-0.09148997857169006,1.6390332053623424,-7.531520245112235,-20.05843290124056,38.06893319397064,0.15490892775033543,3.0161014766657663,0.03060915373317285,0.22298173674518265,53.47825288989899,-0.033121084518706406,15.681554675690112,-1.0369198785798746,0.30637606016478636,2.1286244882745846
34.9,-0.027913753189854194,0.0007545089302681218,0.028560287987606233,0.020182859340838,-0.008902233078442331,-0.1068937613530949,-0.09709488623750429,-8.00220852437762,-66.48752328805185,-0.37259726797238024,-3.0739769221472937,3.9698711464462777,-0.08348557380374688,0.04924860837069144,0.3860777051826273,3.1051857916070316,3.310466132336504,28.61415566632023,-0.08405797610996696,2.9420620207159485,0.6097240363974546,-0.9703740000420823,-4.542195970037821,11.976650683434926,56.01425731569483,0.11349311001867508,1.4010600965775433,2.8155159539582018
34.95,-0.027876062579953627,-0.00027222449858895815,0.029569381864304415,0.021775522996157,-0.07763531889644955,-0.22051796717588096,-0.22459336926611836,-13.421284836722608,-57.72058677820802,-1.7976993874791487,-8.35823273300174,4.279145196322263,-0.31704253746977884,0.3850228539972749,1.8254676073460439,8.418764601999616,8.845766918269879,36.563678480465654,-0.318152753315915,3.4767572971187195,1.1073751071707838,-4.361446929200654,-15.762262751178147,12.5365495205301,45.29872659759839,0.5250776282549613,1.509538346138967,3.278926589133687
35.0,-0.02788967690012409,-0.00012405753929549472,0.03065816070779648,0.02084166769956499,-0.10458850809806361,-0.2498267431999071,-0.2620779278002143,-13.894826399730826,-55.916715245810366,-2.0360706029298155,-8.89664321093505,4.3551690865037465,-0.3643721100201576,0.5006866029642805,2.066555912142845,8.960785870440882,9.794317466871016,38.091478099884725,-0.365548551424919,3.625079044924325,1.2094161220755193,-5.092660323122908,-17.81222370084709,12.296393010271114,42.99818681400537,0.6335666752240586,1.5298853813630668,3.3815649334142877
35.050000000000004,-0.027895855332806807,0.0012439594626727465,0.03170026898126359,0.018037923858128094,-0.07845837093447396,-0.1991617605981285,-0.2108271981008778,-12.997819156453195,-57.541711899971034,-1.8872410224244083,-9.04722850657857,4.21642598122893,-0.33296325290858725,0.4030839799582925,1.9188961644572695,9.116454904453969,8.843323569448343,37.75581906834206,-0.3342329352290669,3.488289636492732,1.0374757006074362,-4.732516630525181,-17.4065887409709,12.168155175922236,44.756042093759916,0.5663059563295718,1.4567433903868825,3.190539524964641
35.1,-0.02783361996747095,0.002503335322290182,0.03260217056590666,0.015787723296079772,-0.043554510168728265,-0.14722494606332517,-0.1484566587701894,-11.210980747038473,-61.21100520675254,-1.4342937652438135,-8.319768370755758,4.06956117683525,-0.2626821032513186,0.2383877354118608,1.464645688039264,8.39182421271828,6.634201330120233,34.91488891955937,-0.2640036804449169,3.2395978319280028,0.8221823193324234,-3.545052263195031,-14.335664733976728,12.198845719559683,49.350628851982854,0.40903923710140494,1.4090587617608483,2.9858821170252683
35.15,-0.027708412650951635,0.0031340045001646446,0.03339153453654748,0.014661570634323348,-0.02930370808021583,-0.12961808232650968,-0.12467408422850362,-10.065854058326194,-63.36432977754191,-1.0902255497542161,-7.15085318691209,4.021729107658023,-0.2111783979119472,0.16093638172781996,1.1192420059057044,7.222496714224576,5.2919041235276385,32.45381690380914,-0.21249241283684905,3.109373059333903,0.7307457815073967,-2.6984359516661245,-11.51527367661273,12.211844264192997,52.147598899141464,0.3098402212106854,1.4043162790740404,2.9155695228630836
35.2,-0.02755166488122263,0.0033506690281942583,0.03412457999958199,0.014073907914870303,-0.03376802534541979,-0.13393334686957878,-0.13398094050607173,-10.581358180424427,-62.56483528034699,-1.1947737339371185,-7.449596863551703,4.043045670154648,-0.2259958117428089,0.18858559793018376,1.2254755298910949,7.523129157847648,5.959963705284113,34.09873232083751,-0.22734446856906634,3.1799017483148893,0.7666087098107134,-2.9889529548279503,-12.508535580855574,12.112884779200565,50.72061669914804,0.3450039453295835,1.400124483260065,2.9192236690915614
35.25,-0.0273840685137567,0.0035173349320758553,0.034828247401789,0.013534971409799808,-0.04203933819118659,-0.14358689965672738,-0.14674483417959863,-11.14717133781921,-61.37834591986064,-1.38799046799947,-8.13361421095803,4.0668889099689665,-0.255609344282437,0.23305912435043188,1.4206239514996144,8.209364429723875,6.648599655737696,35.30255592479912,-0.2569986800920594,3.247743261206064,0.8135201937651277,-3.47514414567462,-14.136477974199797,12.099412961495847,49.24116095400695,0.40212002707798455,1.4017419648281553,2.9590910976031752
