Time,X,Y,Z,Reference X,Reference Y,Reference Z,Error,u0,u1,u2,u3,deltaT
0.0,0.0,0.0,0.0,5.0,5.0,5.0,8.659744293886893,0.005000009998648639,0.005000009998648327,0.005000009997571606,0.0,0.05837512016296387
0.25,0.0003378369207280023,0.00033783276622229404,0.0002072338834540996,5.0,5.0,5.0,8.655230470718374,0.005000009998644094,0.005000009998643782,0.005000009997567278,0.0,0.053826332092285156
0.5,0.0033425788090158367,0.0033423285235682637,0.002016283481449698,5.0,5.0,5.0,8.646845986291432,0.00500000999863889,0.005000009998638578,0.005000009997562409,0.0,0.053313493728637695
0.75,0.00894877422910035,0.00894769606280161,0.00532783140492719,5.0,5.0,5.0,8.634719127251989,0.0050000099986330275,0.005000009998632715,0.005000009997557026,0.0,0.05242204666137695
1.0,0.017092542713724238,0.017089817754220884,0.010048718241477874,5.0,5.0,5.0,8.618973344291241,0.005000009998626507,0.005000009998626194,0.005000009997551153,0.0,0.04986977577209473
1.25,0.027711514958051756,0.027706223460052658,0.016091560742281887,5.0,5.0,5.0,8.599727530854661,0.005000009998619322,0.005000009998619008,0.005000009997544812,0.0,0.05148577690124512
1.5,0.04074478402206447,0.04073605438455527,0.02337439368260364,5.0,5.0,5.0,8.577096285734639,0.005000009998611472,0.005000009998611157,0.005000009997538024,0.0,0.05087780952453613
1.75,0.05613286885579288,0.05612001662826326,0.03182033392801305,5.0,5.0,5.0,8.5511901600381,0.0050000099986029466,0.00500000999860263,0.005000009997530807,0.0,0.05245494842529297
2.0,0.07381768972958859,0.07380032590934313,0.04135726532951078,5.0,5.0,5.0,8.522115889082066,0.005000009998593739,0.00500000999859342,0.005000009997523178,0.0,0.04986929893493652
2.25,0.0937425535079741,0.09372064635938138,0.051917543156102884,5.0,5.0,5.0,8.489976609909434,0.005000009998583838,0.005000009998583518,0.0050000099975151535,0.0,0.05026698112487793
2.5,0.11585214539628522,0.11582602728014037,0.06343771685344425,5.0,5.0,5.0,8.454872065304494,0.005000009998573231,0.005000009998572908,0.005000009997506747,0.0,0.05295848846435547
2.75,0.14009252300576272,0.14006284212250794,0.07585826999227947,5.0,5.0,5.0,8.416898795385432,0.005000009998561903,0.005000009998561579,0.005000009997497973,0.0,0.05058622360229492
3.0,0.16641110843406012,0.16637873367293066,0.08912337634086202,5.0,5.0,5.0,8.376150318022477,0.005000009998549839,0.005000009998549511,0.005000009997488843,0.0,0.050833940505981445
3.25,0.19475667455606727,0.19472256855860634,0.1031806710616167,5.0,5.0,5.0,8.332717299442132,0.0050000099985370175,0.005000009998536688,0.005000009997479368,0.0,0.05240964889526367
3.5,0.22507932277879028,0.22504440285225102,0.11798103609429668,5.0,5.0,5.0,8.286687716408114,0.00500000999852342,0.005000009998523088,0.005000009997469559,0.0,0.0547938346862793
3.75,0.25733045096512047,0.25729545897826095,0.13347839884603002,5.0,5.0,5.0,8.238147011308342,0.005000009998509022,0.005000009998508687,0.0050000099974594255,0.0,0.05641579627990723
4.0,0.2914627118498433,0.29142811253635426,0.14962954336318823,5.0,5.0,5.0,8.187178241330072,0.005000009998493796,0.0050000099984934595,0.0050000099974489755,0.0,0.050872802734375
4.25,0.3274299638109593,0.3273958863050372,0.16639393321116672,5.0,5.0,5.0,8.133862222690233,0.005000009998477716,0.005000009998477377,0.005000009997438217,0.0,0.05342602729797363
4.5,0.3651872170900807,0.36515344776530606,0.18373354533615116,5.0,5.0,5.0,8.078277670634648,0.00500000999846075,0.005000009998460408,0.005000009997427157,0.0,0.04990863800048828
4.75,0.4046905792974683,0.4046566061263601,0.20161271422795382,5.0,5.0,5.0,8.020501335662546,0.005000009998442863,0.0050000099984425185,0.005000009997415803,0.0,0.05238628387451172
5.0,0.4458972041868936,0.4458623050842882,0.21999798574522225,5.0,5.0,5.0,7.960608136207368,0.005000009998424018,0.00500000999842367,0.00500000999740416,0.0,0.05253887176513672
5.25,0.48876524723047904,0.4887286083540547,0.23885798000392464,5.0,5.0,5.0,7.898671287841362,0.005000009998404172,0.005000009998403821,0.005000009997392234,0.0,0.05145692825317383
5.5,0.5332538305426888,0.5332146762535158,0.2581632627671611,5.0,5.0,5.0,7.8347624289909,0.005000009998383283,0.005000009998382928,0.005000009997380028,0.0,0.05088019371032715
5.75,0.5793230183522032,0.5792807330921889,0.2778862248091932,5.0,5.0,5.0,7.768951743160182,0.0050000099983613,0.0050000099983609405,0.005000009997367548,0.0,0.051285743713378906
6.0,0.6269338027099481,0.6268880266014278,0.29800096875926635,5.0,5.0,5.0,7.7013080777578224,0.005000009998338169,0.005000009998337805,0.005000009997354797,0.0,0.05150198936462402
6.25,0.6760480976810521,0.6759987819131906,0.3184832029614552,5.0,5.0,5.0,7.631899059786002,0.005000009998313832,0.005000009998313464,0.005000009997341779,0.0,0.05187058448791504
6.5,0.7266287391135351,0.7265761534642351,0.339310141915518,5.0,5.0,5.0,7.560791208858241,0.005000009998288226,0.005000009998287852,0.005000009997328497,0.0,0.054288625717163086
6.75,0.7786394863761046,0.7785841785473342,0.3604604128907167,5.0,5.0,5.0,7.488050048226927,0.00500000999826128,0.005000009998260901,0.0050000099973149525,0.0,0.05382537841796875
7.0,0.8320450223093023,0.831987736007995,0.3819139683298613,5.0,5.0,5.0,7.4137402146927105,0.005000009998232918,0.005000009998232534,0.0050000099973011485,0.0,0.05250287055969238
7.25,0.8868109480514561,0.8867525128373734,0.40365200368456683,5.0,5.0,5.0,7.337925568407178,0.005000009998203057,0.005000009998202666,0.005000009997287085,0.0,0.05127882957458496
7.5,0.9429037703112065,0.9428449802609863,0.4256568803449709,5.0,5.0,5.0,7.260669303648602,0.005000009998171605,0.005000009998171209,0.005000009997272766,0.0,0.05097675323486328
7.75,1.000290879916606,1.0002323795484376,0.4479120533480409,5.0,5.0,5.0,7.182034061641212,0.0050000099981384605,0.005000009998138059,0.005000009997258191,0.0,0.053780555725097656
8.0,1.058940521881842,1.058882716382261,0.47040200356818324,5.0,5.0,5.0,7.1020820464063705,0.005000009998103515,0.005000009998103108,0.0050000099972433605,0.0,0.05048012733459473
8.25,1.1188217585817157,1.118764761433075,0.49311217411223857,5.0,5.0,5.0,7.0208751444965545,0.005000009998066647,0.0050000099980662335,0.005000009997228275,0.0,0.05086970329284668
8.5,1.1799044287092606,1.1798480539694347,0.5160289106581786,5.0,5.0,5.0,6.938475049295566,0.0050000099980277235,0.005000009998027303,0.005000009997212935,0.0,0.0514683723449707
8.75,1.2421591053545402,1.2421029050010137,0.539139405492983,5.0,5.0,5.0,6.8549433904014645,0.005000009997986595,0.005000009997986168,0.005000009997197341,0.0,0.05185866355895996
9.0,1.305557056690205,1.305500396654473,0.5624316450203364,5.0,5.0,5.0,6.770341868472525,0.0050000099979431,0.005000009997942667,0.005000009997181492,0.0,0.05206561088562012
9.25,1.3700702123683246,1.3700123751734785,0.5858943605230053,5.0,5.0,5.0,6.684732395836548,0.005000009997897058,0.005000009997896617,0.005000009997165386,0.0,0.05087566375732422
9.5,1.4356711378896299,1.4356114360054817,0.6095169819780962,5.0,5.0,5.0,6.598177243156916,0.005000009997848267,0.005000009997847818,0.0050000099971490245,0.0,0.05042695999145508
9.75,1.5023330180352994,1.5022709007205772,0.6332895947359068,5.0,5.0,5.0,6.510739192520674,0.005000009997796504,0.005000009997796045,0.005000009997132404,0.0,0.054904937744140625
10.0,1.570029649134499,1.5699647868055477,0.6572028988848174,5.0,5.0,5.0,6.422481697458275,0.005000009997741518,0.005000009997741048,0.005000009997115524,0.0,0.05300617218017578
10.25,1.6387354386786879,1.6386677724936087,0.6812481711356826,5.0,5.0,5.0,6.333469050604592,0.005000009997683028,0.005000009997682548,0.005000009997098383,0.0,0.050920724868774414
10.5,1.708425409775177,1.708355159562403,0.7054172290695043,5.0,5.0,5.0,6.243766559941048,0.005000009997620719,0.005000009997620228,0.005000009997080979,0.0,0.05040478706359863
10.75,1.7790752073067757,1.7790028373491453,0.7297023976018575,5.0,5.0,5.0,6.153440734789805,0.005000009997554237,0.005000009997553734,0.005000009997063309,0.0,0.04991459846496582
11.0,1.8506611025190804,1.8505872510526171,0.7540964775266208,5.0,5.0,5.0,6.06255948293315,0.005000009997483177,0.005000009997482661,0.005000009997045372,0.0,0.05436825752258301
