Time,X,Y,Z,Reference X,Reference Y,Reference Z,Error,u0,u1,u2,u3,deltaT
0.0,0.0,0.0,0.0,5.0,5.0,5.0,8.659744294906229,0.004999999999870859,0.004999999999870826,0.004999999999767554,-0.0,0.7894437313079834
0.25,0.000337836245138094,0.0003378320906407126,0.00020723346907817623,5.0,5.0,5.0,8.655230480763885,0.004999999999963975,0.004999999999963968,0.00499999999993551,-0.0,0.6580967903137207
0.5,0.0033425721246952565,0.0033423218397483807,0.002016279449783468,5.0,5.0,5.0,8.646846013102914,0.004999999996327993,0.004999999996327228,0.00499999999343408,-0.0,0.6545975208282471
0.75,0.008948756333595115,0.008947678169452905,0.005327820751425823,5.0,5.0,5.0,8.634719178314217,0.004999999998693514,0.0049999999986932485,0.004999999997664441,-0.0,0.6583347320556641
1.0,0.01709250853079312,0.0170897835767397,0.01004869814623422,5.0,5.0,5.0,8.618973426838203,0.004999999998425733,0.004999999998425395,0.004999999997193861,-0.0,0.6535892486572266
1.25,0.02771145953730989,0.027706168049893693,0.016091528561404556,5.0,5.0,5.0,8.599727651880164,0.004999999998646048,0.004999999998645767,0.0049999999975928805,-0.0,0.653923749923706
1.5,0.040744702534833525,0.040735972914783494,0.02337434693601645,5.0,5.0,5.0,8.577096451999733,0.004999999998669053,0.004999999998668768,0.004999999997643789,-0.0,0.6541671752929688
1.75,0.05613275659246715,0.05611990439064198,0.03182027028952848,5.0,5.0,5.0,8.55119037807853,0.004999999998531645,0.004999999998531503,0.004999999997440924,-0.0,0.6547155380249023
2.0,0.07381754209672688,0.07380017831120929,0.04135718261718007,5.0,5.0,5.0,8.52211616521512,0.004999999998444526,0.004999999998444187,0.004999999997263059,-0.0,0.6535282135009766
2.25,0.09374236602545524,0.09372045892067746,0.05191743932320253,5.0,5.0,5.0,8.489976950240157,0.004999999998376618,0.004999999998376247,0.004999999997158114,-0.0,0.6535837650299072
2.5,0.11585191369457817,0.11582579563067062,0.06343758998010181,5.0,5.0,5.0,8.454872475731367,0.004999999998605444,0.004999999998605142,0.004999999997571498,-0.0,0.6541521549224854
2.75,0.14009224282321217,0.1400625619993206,0.07585811827765057,5.0,5.0,5.0,8.41689928160546,0.004999999998730415,0.0049999999987301496,0.004999999997790625,-0.0,0.6541504859924316
3.0,0.1664107756142897,0.16637840091791165,0.08912319809588824,5.0,5.0,5.0,8.376150885536127,0.004999999999003585,0.00499999999900336,0.004999999998271513,-0.0,0.6529154777526855
3.25,0.19475628504523698,0.19472217911599032,0.10318046470205075,5.0,5.0,5.0,8.332717953557694,0.004999999999065239,0.004999999999065026,0.004999999998386806,-0.0,0.6540014743804932
3.5,0.2250788726229927,0.22504395276629588,0.1179808001342625,5.0,5.0,5.0,8.286688462245895,0.004999999999162703,0.004999999999162514,0.004999999998562901,-0.0,0.6536843776702881
3.75,0.25732993630768847,0.2572949443908157,0.13347813189182312,5.0,5.0,5.0,8.23814785380428,0.004999999999199855,0.004999999999199677,0.004999999998634611,-0.0,0.653775691986084
4.0,0.2914621289288524,0.29142752968456487,0.14962924410757372,5.0,5.0,5.0,8.187179185239003,0.004999999999197097,0.0049999999991969185,0.004999999998638268,-0.0,0.8084385395050049
4.25,0.327429308956785,0.3273952315190206,0.16639360042798584,5.0,5.0,5.0,8.133863272588744,0.004999999999183849,0.004999999999183669,0.0049999999986246975,-0.0,0.6526727676391602
4.5,0.36518648672307513,0.3651527174658417,0.18373317787527457,5.0,5.0,5.0,8.078278830923482,0.0049999999991786675,0.004999999999178485,0.004999999998625303,-0.0,0.6529912948608398
4.75,0.4046897699257618,0.40465579682260233,0.20161231101056326,5.0,5.0,5.0,8.020502610568588,0.004999999999179821,0.004999999999179639,0.0049999999986369585,-0.0,0.6537857055664062
