Time,X,Y,Z,Reference X,Reference Y,Reference Z,Error,u0,u1,u2,u3,deltaT
0.0,0.0,0.0,0.0,5.0,5.0,5.0,14.999117099332313,0.00499999999987086,0.004999999999870827,0.004999999999767558,-0.0,0.0
0.25,0.00033783624513809417,0.0003378320906407127,0.00020723346907817637,5.0,5.0,5.0,14.991298943901848,0.004999999999963975,0.004999999999963968,0.004999999999935508,-0.0,0.0
0.5,0.0033425721246952574,0.0033423218397483825,0.0020162794497834693,5.0,5.0,5.0,14.97677661991863,0.0049999999963279895,0.0049999999963272245,0.0049999999934340735,-0.0,0.0
0.75,0.008948756333595117,0.008947678169452907,0.005327820751425825,5.0,5.0,5.0,14.95577232592961,0.004999999998693507,0.00499999999869324,0.004999999997664427,-0.0,0.0
1.0,0.01709250853079312,0.0170897835767397,0.01004869814623422,5.0,5.0,5.0,14.928499884369801,0.004999999998425735,0.0049999999984253985,0.004999999997193866,-0.0,0.0
1.25,0.02771145953730988,0.02770616804989369,0.01609152856140455,5.0,5.0,5.0,14.895165224311443,0.004999999998646048,0.004999999998645766,0.004999999997592879,-0.0,0.0
1.5,0.04074470253483351,0.04073597291478349,0.02337434693601644,5.0,5.0,5.0,14.855966836282288,0.004999999998669053,0.004999999998668768,0.004999999997643788,-0.0,0.015677213668823242
1.75,0.05613275659246714,0.05611990439064197,0.03182027028952847,5.0,5.0,5.0,14.811096200026133,0.00499999999853165,0.004999999998531508,0.0049999999974409326,-0.0,0.0
2.0,0.07381754209672686,0.07380017831120927,0.04135718261718005,5.0,5.0,5.0,14.760738186156635,0.004999999998444526,0.004999999998444187,0.004999999997263059,-0.0,0.0
2.25,0.09374236602545523,0.09372045892067742,0.05191743932320251,5.0,5.0,5.0,14.705071432904617,0.004999999998376625,0.004999999998376254,0.004999999997158126,-0.0,0.0
2.5,0.11585191369457816,0.11582579563067058,0.06343758998010181,5.0,5.0,5.0,14.644268699482385,0.00499999999860544,0.0049999999986051384,0.004999999997571491,-0.0,0.0
2.75,0.14009224282321217,0.14006256199932057,0.07585811827765057,5.0,5.0,5.0,14.57849719793064,0.004999999998730417,0.004999999998730153,0.00499999999779063,-0.0,0.0
3.0,0.1664107756142897,0.16637840091791165,0.08912319809588824,5.0,5.0,5.0,14.507918905611616,0.004999999999003584,0.004999999999003356,0.004999999998271508,-0.0,0.0
3.25,0.19475628504523698,0.19472217911599032,0.10318046470205076,5.0,5.0,5.0,14.432690860703287,0.004999999999065239,0.0049999999990650275,0.004999999998386808,-0.0,0.0
3.5,0.2250788726229927,0.22504395276629588,0.11798080013426251,5.0,5.0,5.0,14.352965443104702,0.004999999999162703,0.004999999999162514,0.004999999998562903,-0.0,0.0
3.75,0.25732993630768847,0.2572949443908157,0.13347813189182312,5.0,5.0,5.0,14.268890643053519,0.004999999999199855,0.004999999999199677,0.004999999998634611,-0.0,0.0
4.0,0.2914621289288524,0.29142752968456487,0.14962924410757375,5.0,5.0,5.0,14.180610319504318,0.004999999999197097,0.0049999999991969185,0.004999999998638268,-0.0,0.0
4.25,0.327429308956785,0.32739523151902067,0.16639360042798587,5.0,5.0,5.0,14.088264449942164,0.004999999999183849,0.004999999999183669,0.0049999999986246975,-0.0,0.0
4.5,0.36518648672307513,0.3651527174658418,0.1837331778752746,5.0,5.0,5.0,13.991989372867582,0.0049999999991786675,0.004999999999178485,0.004999999998625305,-0.0,0.0
4.75,0.4046897699257618,0.40465579682260244,0.20161231101056332,5.0,5.0,5.0,13.891918023743608,0.004999999999179821,0.004999999999179639,0.0049999999986369585,-0.0,0.015580892562866211
5.0,0.44589631240430705,0.44586141337150215,0.2199975457593938,5.0,5.0,5.0,13.78818016480498,0.004999999999174997,0.004999999999174813,0.004999999998639177,-0.0,0.0
5.25,0.48876426971452386,0.48872763091137933,0.23885750230048358,5.0,5.0,5.0,13.680902608846322,0.004999999999138311,0.004999999999138115,0.004999999998589923,-0.0,0.0
5.5,0.533252764052629,0.5332136098417666,0.25816274645578685,5.0,5.0,5.0,13.570209436966739,0.004999999999052883,0.004999999999052664,0.004999999998463406,-0.0,0.0
5.75,0.5793218597271533,0.5792795745517119,0.2778856690547525,5.0,5.0,5.0,13.45622221026675,0.00499999999889333,0.004999999998893031,0.004999999998219438,-0.0,0.0
6.0,0.6269325488669912,0.6268867728500261,0.2980003727783649,5.0,5.0,5.0,13.339060175661217,0.004999999998557598,0.004999999998557191,0.004999999997701821,-0.0,0.0
6.25,0.6760467456133511,0.6759974299441248,0.31848256601918545,5.0,5.0,5.0,13.218840466258126,0.004999999997984737,0.004999999997984338,0.004999999996821515,-0.0,0.0
6.5,0.7266272858883933,0.7265747003442692,0.3393094633223608,5.0,5.0,5.0,13.095678297110586,0.004999999996006526,0.004999999996005437,0.004999999993571932,-0.0,0.0
6.75,0.7786379291329184,0.7785826214147693,0.3604596919995269,5.0,5.0,5.0,12.969687157521369,0.004999999999952078,0.004999999999952068,0.004999999999925934,-0.0,0.0
7.0,0.8320433582574677,0.8319860720707397,0.3819132045329717,5.0,5.0,5.0,12.840979001402419,0.004999999999746035,0.004999999999745967,0.004999999999611736,-0.0,0.0
7.25,0.8868091744710368,0.886750739373833,0.4036511964137672,5.0,5.0,5.0,12.709664437471064,0.0049999999993763896,0.004999999999376216,0.004999999999057454,-0.0,0.0
7.5,0.9429018845491265,0.9428430946164964,0.42565602906717487,5.0,5.0,5.0,12.575852921112428,0.004999999998936257,0.004999999998936018,0.004999999998410796,-0.0,0.0
7.75,1.0002888793848035,1.000230379133647,0.4479111575630369,5.0,5.0,5.0,12.439652949787176,0.00499999999663775,0.004999999996425361,0.004999999994232404,-0.0,0.0
8.0,1.0589384040554084,1.0588805986714365,0.47040106280642363,5.0,5.0,5.0,12.30117226369162,0.004999999999419921,0.004999999999415915,0.004999999999157001,-0.0,0.015624761581420898
8.25,1.1188195209967455,1.1187625239619845,0.4931111879323217,5.0,5.0,5.0,12.160518053133023,0.004999999999192936,0.004999999999190401,0.004999999998842813,-0.0,0.0
8.5,1.1799020689634923,1.1798456943361895,0.5160278786474491,5.0,5.0,5.0,12.017797173833861,0.004999999999039373,0.004999999999039274,0.004999999998641391,-0.0,0.0
8.75,1.2421566211044548,1.242100420862992,0.5391383272642797,5.0,5.0,5.0,11.873116371023405,0.004999999998950968,0.004999999998950909,0.004999999998537909,-0.0,0.0
9.0,1.3055544456496782,1.305497785726821,0.5624305202104468,5.0,5.0,5.0,11.726582512995924,0.004999999999427175,0.004999999999425194,0.004999999999216955,-0.0,0.0
9.25,1.3700674723073747,1.370009635227653,0.5858931887912416,5.0,5.0,5.0,11.578302834650776,0.004999999999529814,0.004999999999527508,0.004999999999367612,-0.0,0.0
9.5,1.4356682666333873,1.435608564867989,0.6095157630050968,5.0,5.0,5.0,11.428385191524606,0.00499999999951693,0.004999999999516904,0.004999999999359972,-0.0,0.0
9.75,1.50233001346258,1.502267896271337,0.6332883282221584,5.0,5.0,5.0,11.276938324944997,0.0049999999996991245,0.004999999999699102,0.004999999999608445,-0.0,0.0
10.0,1.5700265091765413,1.56996164697646,0.6572015845493911,5.0,5.0,5.0,11.124072139189975,0.004999999999739663,0.004999999999739634,0.004999999999667509,-0.0,0.0
10.25,1.6387321613180121,1.6386644952673142,0.6812468087151456,5.0,5.0,5.0,10.969897991883109,0.00499999999989074,0.0049999999998907195,0.004999999999863189,-0.0,0.0
10.5,1.708421993044296,1.7083517429709778,0.7054158183167879,5.0,5.0,5.0,10.81452899925062,0.0049999999998554786,0.004999999999855451,0.004999999999822722,-0.0,0.0
10.75,1.7790716492869907,1.778999279472965,0.7297009382852706,5.0,5.0,5.0,10.65808035826988,0.004999999999841599,0.004999999999841568,0.004999999999809828,-0.0,0.0
11.0,1.8506574013391428,1.8505835500191588,0.7540949694288317,5.0,5.0,5.0,10.50066968808642,0.004999999999879766,0.004999999999879742,0.004999999999858863,-0.0,0.0
11.25,1.92315614694077,1.9230815307351041,0.7785911589272483,5.0,5.0,5.0,10.342417393335039,0.004999999999770479,0.00499999999977043,0.004999999999736862,-0.0,0.0
11.5,1.9965454037152448,1.9964707117969716,0.8031831726554594,5.0,5.0,5.0,10.183447052130559,0.004999999999819471,0.004999999999819431,0.004999999999798092,-0.0,0.0
11.75,2.0708032949001898,2.070729088992797,0.8278650692231562,5.0,5.0,5.0,10.023885831484144,0.004999999999663939,0.004999999999663766,0.004999999999633658,-0.0,0.0
12.0,2.145908527546782,2.1458351626996826,0.8526312756241301,5.0,5.0,5.0,9.863864932755435,0.004999999999475763,0.0049999999994909785,0.00499999999946311,-0.0,0.0
12.25,2.2218403645424725,2.2217679422544876,0.8774765643952452,5.0,5.0,5.0,9.703520069478717,0.004999999998993694,0.004999999999042502,0.004999999999021744,-0.0,0.0
12.5,2.298578592769895,2.29850695296965,0.9023960321917797,5.0,5.0,5.0,9.542991979537222,0.004999999998764247,0.0049999999988775004,0.004999999998887175,-0.0,0.0
12.75,2.3761034903054203,2.3760322427425207,0.9273850796910594,5.0,5.0,5.0,9.382426973221486,0.004999999999821808,0.004999999999836421,0.004999999999842631,-0.0,0.0
13.0,2.4543957957053277,2.4543243853680825,0.9524393927423725,5.0,5.0,5.0,9.221977518226913,0.004999999995580617,0.004999999995579923,0.004999999995864596,-0.0,0.0
13.25,2.5334366821078107,2.533364478255107,0.977554924685421,5.0,5.0,5.0,9.06180286212333,0.004999999998682934,0.004999999998680389,0.004999999998811137,-0.0,0.0
13.5,2.6132077381530143,2.613134133171117,1.0027278797639074,5.0,5.0,5.0,8.902069692224938,0.004999999998907334,0.004999999998912554,0.0049999999990537605,-0.0,0.0
13.75,2.693690956719816,2.693615459768756,1.0279546975716705,5.0,5.0,5.0,8.742952832183816,0.004999999999130909,0.0049999999991307545,0.00499999999927458,-0.0,0.01566457748413086
14.0,2.7748687313029246,2.7747910427542872,1.0532320384576714,5.0,5.0,5.0,8.584635973731956,0.0049999999858399416,0.004999999985837378,0.004999999988676145,-0.0,0.0
14.25,2.856723858780568,2.8566439145738003,1.0785567698388197,5.0,5.0,5.0,8.427312440992042,0.0049999999998995405,0.004999999999899523,0.004999999999923256,-0.0,0.0
14.5,2.9392395464009256,2.939157526153645,1.1039259533594519,5.0,5.0,5.0,8.2711859832968,0.004999999999883588,0.0049999999998835256,0.004999999999915618,-0.0,0.0
14.75,3.0223994202900366,3.0223157185542173,1.129336832856471,5.0,5.0,5.0,8.116471590753555,0.004999999999889229,0.0049999999998891756,0.004999999999923901,-0.0,0.0
15.0,3.1061875325642063,3.106102698174429,1.1547868230540088,5.0,5.0,5.0,7.963396324078639,0.004999999999879088,0.004999999999879029,0.004999999999921594,-0.0,0.00755763053894043
15.25,3.1905883645367936,3.19050301771346,1.1802734989710761,5.0,5.0,5.0,7.812200147261179,0.004999999999870923,0.004999999999870853,0.004999999999921353,-0.0,0.0
15.5,3.2755868240885437,3.2755015641425875,1.205794585982791,5.0,5.0,5.0,7.663136747555994,0.004999999999860676,0.004999999999860657,0.00499999999992013,-0.0,0.0
15.75,3.3611682362551245,3.361083553938212,1.231347950497852,5.0,5.0,5.0,7.516474322465993,0.004999999999938244,0.004999999999938235,0.004999999999967106,-0.0,0.0
16.0,3.447318327150728,3.447234534759564,1.2569315912140329,5.0,5.0,5.0,7.372496307607603,0.004999999999863044,0.004999999999863025,0.00499999999993271,-0.0,0.0
16.25,3.5340232023818685,3.533940391833588,1.2825436309158718,5.0,5.0,5.0,7.231502012699328,0.00499999999082269,0.004999999990919316,0.004999999996969213,-0.0,0.0
16.5,3.6212693219480294,3.6211873566637767,1.3081823087807631,5.0,5.0,5.0,7.093807125472782,0.004999999991758898,0.004999999991770687,0.0049999999981193205,-0.0,0.008548259735107422
16.75,3.709043474152986,3.7089620154025504,1.3338459731617422,5.0,5.0,5.0,6.9597440352601545,0.004999999990994988,0.004999999990995186,0.004999999996740947,-0.0,0.0
17.0,3.7973327512033137,3.7972513143684083,1.359533074819973,5.0,5.0,5.0,6.8296619197923105,0.004999999991216795,0.004999999991216923,0.004999999997217079,-0.0,0.0
17.25,3.886124528867401,3.886042560657205,1.3852421605734497,5.0,5.0,5.0,6.7039265306490705,0.00499999999300483,0.004999999993004282,0.004999999998103142,-0.0,0.0
17.5,3.9754064519904735,3.975323416641746,1.410971867342358,5.0,5.0,5.0,6.582919605793101,0.004999999957535423,0.0049999999575443274,0.004999999990458133,-0.0,0.0
