time,x,y,z,phi,theta,psi,vx,vy,vz,wx,wy,wz,xdot,ydot,zdot,phidot,thetadot,psidot,vxdot,vydot,vzdot,wxdot,wydot,wzdot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error
105.25000000000121,1.000260974528075,-0.02457500463395086,-1.9839113760442728,-0.0005381927964366508,0.004933698056708787,7.853981081936771,-0.006066474578188632,-0.007620301862091089,-0.0018795932657973925,-0.0024517022914948327,0.0017786956219117988,1.7919720102264727e-06,0.007605464039706078,-0.0061476274455674745,-0.0017814277837713277,-0.002457231469708491,0.0018160855323988943,8.028653475378178e-07,0.0014489807978106811,-0.0003117415408507643,-0.0013051114406793058,0.0001106613278003838,-0.0007477884079714042,4.696783028226996e-06,0.0005325421150605691,-0.0003344304293504685,-0.0009280139612907329,2.625334401618423e-06,0.00026097452807505306,-0.02457500463395086,0.016088623955727188,-5.520377115431074e-07
105.3000000000012,1.0006420399774747,-0.024878787535207836,-1.9840036529914638,-0.0006607777051041458,0.00502263287314565,7.853981123671811,-0.006000193274680999,-0.007646533800054615,-0.0019363549375300715,-0.002445046839560051,0.001740536490092847,2.015969010391239e-06,0.0076213089879928475,-0.006075658025139485,-0.0018455389438187808,-0.0024516981733499,0.0017786963287372629,8.347007884879076e-07,0.0013256260701526544,-0.0005246387592705223,-0.0011352334346535807,0.00013310903869563281,-0.0007631826363790374,4.479940003295323e-06,0.0004902618514026347,-0.0004158763485786754,-0.0008223547783938467,2.4975918371213247e-06,0.0006420399774746954,-0.024878787535207836,0.01599634700853625,-5.10302672118712e-07
105.35000000000122,1.0010244304056728,-0.02517927861890701,-1.9840987100341918,-0.0007830298296352372,0.005109659745256519,7.853981166965404,-0.005938558776242896,-0.007681525286015214,-0.001985879904411578,-0.0024373052215603524,0.001701649147783021,2.2288048926124634e-06,0.007647808563961966,-0.006009821673983451,-0.0019011408545610564,-0.0024450424906218276,0.0017405374422173672,8.658718719800618e-07,0.0012326899687620588,-0.0006998297192119772,-0.0009904993376301302,0.0001548323599939727,-0.0007777468461965184,4.25671764442449e-06,0.0004661362586339257,-0.00047122629066560784,-0.0007454932637603606,2.3662910729953733e-06,0.0010244304056727938,-0.02517927861890701,0.015901289965808196,-4.6700907851970896e-07
105.40000000000121,1.0014085841634779,-0.025476708680419763,-1.9841961847694112,-0.000904894861705943,0.005194742263823151,7.853981211784104,-0.00587960083515626,-0.007722440855384246,-0.0020301120862181526,-0.002428531742951315,0.0016620838386136212,2.4301834173545844e-06,0.007683075156101893,-0.005948601230255091,-0.0019494947043874333,-0.0024373006414141153,0.0017016503713326511,8.963739972500662e-07,0.0011791588217327335,-0.0008183113873806366,-0.0008846436361314904,0.00017546957218074997,-0.0007913061833879961,4.027570494842421e-06,0.00046327181802569006,-0.0004923562641739529,-0.0007070545604176692,2.2317188495532123e-06,0.0014085841634778884,-0.025476708680419763,0.015803815230588825,-4.2219037865720566e-07
105.45000000000121,1.0017947977757136,-0.025771210396496984,-1.984295812423816,-0.0010263212082902325,0.005277846531682545,7.853981258093304,-0.005821014896388233,-0.0077655683436814804,-0.00207163062976928,-0.002418797522851775,0.001621897488397079,2.6198332242660375e-06,0.007724272244713504,-0.005890034321544418,-0.0019925530880948727,-0.0024285269316857896,0.0016620853571878806,9.26184000604735e-07,0.0011717187753605349,-0.0008625497659446937,-0.0008303708710225531,0.0001946844019907936,-0.0008037270043308436,3.7929961382290615e-06,0.00048298120860590377,-0.00047322134237277186,-0.0007143055867647463,2.0941814221511174e-06,0.0017947977757135636,-0.025771210396496984,0.01570418757618408,-3.758811786269689e-07
105.50000000000122,1.0021831821867042,-0.026062801815003946,-1.9843974578513026,-0.0011472608323488274,0.0053589414978318555,7.853981305856187,-0.0057603567261641005,-0.007806545022981767,-0.002113490574009149,-0.002408186409547479,0.0015811501724505093,2.7975094874985845e-06,0.007767688219812996,-0.00583182837013925,-0.002032908549733925,-0.0024187924811718995,0.0016218993229862033,9.552576507587673e-07,0.0012131634044826485,-0.0008195335860057378,-0.0008371988847973716,0.00021222226608592562,-0.0008149463189313947,3.553525264650939e-06,0.0005242376266834103,-0.0004112683542365561,-0.0007705509622802087,1.9539960903999663e-06,0.0021831821867042134,-0.026062801815003946,0.015602542148697385,-3.2811829608903054e-07
105.55000000000122,1.002573630322511,-0.026351379544524052,-1.9845011395290828,-0.0012676698892933411,0.005437999114899965,7.853981355032712,-0.005695295929215242,-0.007840736490993844,-0.002158957102076599,-0.0023967880661664625,0.0015399004791323235,2.962994842027229e-06,0.007808962716135959,-0.005771554590402114,-0.002073633555603749,-0.002408181138890274,0.0015811523413621943,9.835305014860296e-07,0.0013012159389771787,-0.000683829360241528,-0.0009093305613490019,0.00022796686762032933,-0.0008249938663637156,3.309707090572893e-06,0.0005835187089630045,-0.00030848249099529185,-0.0008739541839428988,1.8114784655754486e-06,0.0025736303225110113,-0.026351379544524052,0.015498860470917197,-2.7894177101472906e-07
105.60000000000122,1.002965803594676,-0.026636724554329447,-1.984607040192473,-0.0013875090177332464,0.005514994264796507,7.853981405578835,-0.005623886096501526,-0.007863728494905145,-0.002211162086208266,-0.002384688938737168,0.0014982005329738613,3.116099215513192e-06,0.007843465443300168,-0.0057069001961079086,-0.0021180132678022545,-0.002396782568798105,0.0015399029979308414,1.0109224568566333e-06,0.001428196654274308,-0.0004598400782260259,-0.0010440996826333385,0.00024198254858588675,-0.000833998923169244,3.0620874697192615e-06,0.0006551483511412493,-0.00017171752758154274,-0.0010171593600908219,1.6669287904678787e-06,0.0029658035946760197,-0.026636724554329447,0.015392959807527085,-2.283956481718974e-07
105.65000000000121,1.0033591429769002,-0.0269185213876634,-1.98471550019069,-0.001506743178623718,0.00558990443551824,7.85398145744613,-0.005544797643214265,-0.007871853976397095,-0.0022727365574327263,-0.0023719625177408324,0.0014560916591855118,3.2566584852396863e-06,0.007866787644483786,-0.005635936666679026,-0.002169199964341395,-0.002384683217809434,0.0014982034144346568,1.0373459069512592e-06,0.0015817690657452324,-0.00016250962983899858,-0.00123148942448921,0.0002545284199267136,-0.0008421774757669904,2.811185394529883e-06,0.0007320865192334269,-1.21233926823755e-05,-0.0011879003364674429,1.5206188518539333e-06,0.003359142976900209,-0.0269185213876634,0.015284499809310015,-1.7652835282433443e-07
105.70000000000121,1.0037529064013373,-0.027196388907827298,-1.9848269923441675,-0.0016253410074882494,0.005662709181181624,7.853981510581932,-0.005457464860239523,-0.007862657536564507,-0.0023454850093785297,-0.002358660683233125,0.001413601579208445,3.384532012013315e-06,0.00787526848874176,-0.005557350403277983,-0.002229843069549986,-0.0023719565772906256,0.0014560949132676713,1.0627160484943943e-06,0.0017466556594948265,0.00018392879665176526,-0.001454969038916067,0.0002660366901541516,-0.000849801599541334,2.5574705354725724e-06,0.0008069613103671436,0.00015625035745894106,-0.0013704980667839373,1.372782368352895e-06,0.003752906401337297,-0.027196388907827298,0.015173007655832516,-1.2339255039961472e-07
