time,x,y,z,phi,theta,psi,vx,vy,vz,wx,wy,wz,xdot,ydot,zdot,phidot,thetadot,psidot,vxdot,vydot,vzdot,wxdot,wydot,wzdot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error,solve_time,metadata
7.3500000000000005,0.017543886353696747,0.006446822546929554,-0.007736338722556287,0.0003105861241637525,-0.0005103974390580745,3.4977896316964674e-20,0.13822979091127885,0.07029961724706432,-0.03070726942015126,2.5399309343163568e-05,7.108046143213805e-05,-1.513468713853775e-08,0.00037652394718866233,-0.0003713544590014423,-0.0008071723216935402,1.9140665334404842e-05,-5.1128313842467465e-05,2.0277523707418664e-20,0.017524317726658994,0.006465466336363224,-0.0076976066340624155,0.0003096290904111297,-0.0005078410233409746,-5.036693566029296e-09,0.0003777679729031847,-9.541594236936704e-05,-0.000969677610911552,0.0,0.13822979091127885,0.07029961724706432,-0.03070726942015126,-1.513468713853775e-08,0.0,0.0
7.4,0.01756394787155298,0.006430471312896435,-0.007776544196979794,0.00031138640765900717,-0.0005127542233595016,3.5677155978400646e-20,0.13910695773708207,0.0706219681859142,-0.031094140519311947,4.092861550527775e-05,4.5560589487466074e-05,-1.5782874262233495e-08,0.0004012303571246382,-0.00032702468066238093,-0.000804109488470144,1.6005669905094274e-05,-4.713568602854129e-05,1.398519322871946e-20,0.01754333651606422,0.00644701877699752,-0.0077374219832137365,0.0003105861232422837,-0.0005103974388934395,-1.2963742473914873e-08,0.0003894531419854694,-7.51277280166458e-05,-0.0009692927305798487,0.0,0.13910695773708207,0.0706219681859142,-0.031094140519311947,-1.5782874262233495e-08,0.0,0.0
7.45,0.01758513077937939,0.006416288864879774,-0.007816596791006868,0.0003120308547067518,-0.0005149128124613181,3.541521184097053e-20,0.13998513742022575,0.07094350765158888,-0.03148299458010825,5.649793584042066e-05,1.9922878340964516e-05,-1.6832190285857237e-08,0.0004236581565281535,-0.00028364896033323866,-0.000801051880541473,1.288894095489327e-05,-4.3171782036330175e-05,-5.238882748602317e-21,0.01756359366287372,0.0064307893134937484,-0.007777081215926142,0.00031138640670285805,-0.0005127542229300311,-2.098632047247482e-08,0.0004000996078547265,-5.525538056970448e-05,-0.0009689058594806881,0.0,0.13998513742022575,0.07094350765158888,-0.03148299458010825,-1.6832190285857237e-08,0.0,0.0
7.5,0.017607322220261297,0.006404226232031947,-0.007856496764581174,0.0003125204609962212,-0.0005168746847028719,3.47476425011391e-20,0.1408643861783264,0.07126434416060036,-0.031873823810924504,7.209947854677892e-05,-5.8227622410111335e-06,-1.828676583746281e-08,0.0004438288176381816,-0.0002412526569565201,-0.0007979994714861288,9.792125789386857e-06,-3.9237444831075685e-05,-1.3351386796628565e-20,0.017584975162012594,0.00641673018022943,-0.007816584616324977,0.0003120308541271652,-0.0005149128116395129,-2.9091511032111446e-08,0.0004097159517012901,-3.5811175845348875e-05,-0.0009685170054198918,0.0,0.1408643861783264,0.07126434416060036,-0.031873823810924504,-1.828676583746281e-08,0.0,0.0
7.550000000000001,0.01763041057655632,0.00639423328535312,-0.007896244376234813,0.0003128563017128396,-0.0005186413566281718,3.527998304959366e-20,0.14174475458237187,0.07158458377773655,-0.03226662043489476,8.772550160743964e-05,-3.166649640898254e-05,-2.0150085597933692e-08,0.0004617671259004696,-0.00019985893357655506,-0.0007949522330727943,6.716814332368478e-06,-3.533343850599615e-05,1.0646810969091166e-20,0.01760736808090973,0.006404792342723915,-0.00785593247940523,0.00031252046121321453,-0.0005168746833594281,-3.726639520941764e-08,0.0004183122973859671,-1.6806389608132826e-05,-0.0009681261761890755,0.0,0.14174475458237187,0.07158458377773655,-0.03226662043489476,-2.0150085597933692e-08,0.0,0.0
7.6000000000000005,0.01765428562770108,0.00638625884560821,-0.007935839883009608,0.00031303952868688847,-0.0005202143792085665,3.500132090389087e-20,0.14262628761863214,0.07190433005811092,-0.032661376690456635,0.00010336831676511985,-5.75985641406076e-05,-2.2424989254383142e-08,0.0004775010228952229,-0.000159488794898195,-0.00079191013549593,3.6645394809780426e-06,-3.146045160789534e-05,-5.573242914055707e-21,0.017630660725205288,0.0063949256074873765,-0.00789512511123748,0.00031285630315360414,-0.0005186413546325011,-4.549807312898899e-08,0.0004259002408067441,1.7486863496149843e-06,-0.0009677333795651052,0.0,0.14262628761863214,0.07190433005811092,-0.032661376690456635,-2.2424989254383142e-08,0.0,0.0
7.65,0.017678838700161622,0.006380250789262556,-0.00797528354039009,0.00031307136756333887,-0.0005215953342328222,3.452622300432115e-20,0.1435090247584623,0.0722236839946105,-0.03305808483191268,0.00011902029335432863,-8.360928296207355e-05,-2.5113673490843335e-08,0.0004910614492107928,-0.00012016112691308542,-0.0007888731476096392,6.367775290084954e-07,-2.761910048511391e-05,-9.50195799139447e-21,0.017654742796603257,0.006387078729991541,-0.00793416282912085,0.0003130395317841755,-0.0005202143764293189,-5.3773684729203876e-08,0.00043249277915028095,1.9844727150820658e-05,-0.0009673386233095434,0.0,0.1435090247584623,0.0722236839946105,-0.03305808483191268,-2.5113673490843335e-08,0.0,0.0
7.7,0.017703962809539026,0.006376156152339185,-0.008014575602248029,0.00031295311499609455,-0.0005227858308653203,3.4533537854706376e-20,0.14439300003560562,0.07254274397064345,-0.0334567371299969,0.0001346738619920206,-0.00010968904948899389,-2.821769497899443e-08,0.0005024821875480963,-8.189273846742074e-05,-0.0007858412371587721,-2.3650513448861076e-06,-2.3809932649962697e-05,1.4629700770452316e-22,0.01767950554286649,0.006381199520658774,-0.007973045961684409,0.0003130713727538391,-0.0005215953305384067,-6.208042976302192e-08,0.0004381042401596851,3.747335685681688e-05,-0.0009669419151680874,0.0,0.14439300003560562,0.07254274397064345,-0.0334567371299969,-2.821769497899443e-08,0.0,0.0
7.75,0.017729552794855517,0.006373921232106882,-0.008053716320798349,0.0003126861358697273,-0.000523787502372722,3.4470363540584955e-20,0.1452782421306039,0.07286160571808206,-0.033857325872443826,0.00015032151812796143,-0.0001358283407952151,-3.1737974331395904e-08,0.0005117997063297913,-4.469840464605543e-05,-0.0007828143710063999,-5.339582527344919e-06,-2.0033430148034463e-05,-1.2634862824284071e-21,0.0177048418999656,0.00637723494877235,-0.008011774848938408,0.0003129531227188165,-0.0005227858261244242,-7.040558704802952e-08,0.0004427502115452804,5.4627129627307116e-05,-0.0009665432628700032,0.0,0.1452782421306039,0.07286160571808206,-0.033857325872443826,-3.1737974331395904e-08,0.0,0.0
7.800000000000001,0.017755505445059393,0.006373491686514431,-0.008092705946566192,0.00031227186055162375,-0.0005246020030190745,3.4057101015642116e-20,0.14616477446192425,0.07318036228029291,-0.034259843364557674,0.00016595582545618042,-0.00016201771561795634,-3.567480097953969e-08,0.000519053004077531,-8.590911849020313e-06,-0.0007797925153568603,-8.285506362071621e-06,-1.6290012927047946e-05,-8.265250498856737e-21,0.017730646626407155,0.006375131244217089,-0.008050349842276993,0.0003126861465643799,-0.0005237874964548245,-7.873653296287564e-08,0.0004464474706602964,7.129951007336179e-05,-0.0009661426741275562,0.0,0.14616477446192425,0.07318036228029291,-0.034259843364557674,-3.567480097953969e-08,0.0,0.0
