time,x,y,z,phi,theta,psi,vx,vy,vz,wx,wy,wz,xdot,ydot,zdot,phidot,thetadot,psidot,vxdot,vydot,vzdot,wxdot,wydot,wzdot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error
72.00000000000074,1.0,2.3520231929668606e-21,-2.0,0.08489081190420887,0.06481938286125341,7.85397908602885,8.805483796674704e-18,-8.278098519911178e-17,-1.2909710549932873e-16,-0.0014455319797670252,0.03961747680184972,-0.003371303474721323,0.0,3.5284998346858505e-21,0.0,-0.0007958839812122198,0.040278547550936794,-1.1963599888531462e-07,5.3939058081153784e-18,1.6263032587292427e-19,3.1852685841562163e-19,-0.012993110148191126,-0.010317583059104157,0.0009117169264584012,-9.691125522067448e-05,0.00011725691822495792,-1.4351446876240871e-05,0.0005269353886998134,0.0,2.3520231929668606e-21,0.0,-2.547945633146753e-06
72.05000000000074,1.0,2.3591880620479877e-21,-2.0,0.08481853517090902,0.06680741590628941,7.853979083955309,9.073823834364866e-18,-8.277285368281813e-17,-1.290829864009947e-16,-0.0020942532560884533,0.03908659316591873,-0.0033232039932961314,0.0,1.432973816225437e-22,0.0,-0.0014455346659969504,0.03976066090072006,-4.1470809009069853e-08,5.366800753803235e-18,1.6263032587292427e-19,2.823819666805681e-19,-0.012974425526428562,-0.010617672718619686,0.0009619896285038322,-9.959356691988442e-05,0.00011707438766051195,-1.3990875322374477e-05,0.0005557919574864449,0.0,2.3591880620479877e-21,0.0,-2.5500191735972066e-06
72.10000000000073,1.0,2.3076182881236095e-21,-2.0,0.08471382263058316,0.06876879644694041,7.853979085789981,9.344874377486242e-18,-8.276743267195571e-17,-1.290704486416741e-16,-0.0027417915910642617,0.03854091815089353,-0.0032726663402622242,0.0,-1.0313954784875647e-21,0.0,-0.002094250806517206,0.0392276108130199,3.669343939805003e-08,5.421010862427522e-18,1.0842021724845184e-19,2.5075518641208807e-19,-0.012950766699516168,-0.010913500300504114,0.0010107530606781427,-0.00010223660040456491,0.00011684741466154826,-1.3632664271566261e-05,0.0005837509051600662,0.0,2.3076182881236095e-21,0.0,-2.548184501627304e-06
72.15000000000074,1.0,2.5158414692409026e-21,-2.0,0.0845767334452287,0.07070277726178543,7.8539790915267345,9.611859162460798e-18,-8.275116963936843e-17,-1.2906107356038032e-16,-0.003387899071935995,0.037980670473883524,-0.003219769669991254,0.0,4.164463622345861e-21,0.0,-0.002741783707089218,0.03867961629690053,1.1473506589254612e-07,5.339695699491122e-18,3.2526065174560203e-19,1.875016258756211e-19,-0.012922149617434668,-0.011204953540200069,0.0010579334054194086,-0.00010483939440194637,0.00011657607171447936,-1.3277350346780246e-05,0.0006107699891077376,0.0,2.5158414692409026e-21,0.0,-2.542447748332677e-06
72.20000000000074,1.0,2.96795184460849e-21,-2.0,0.08440733917169459,0.07260862238031988,7.853979101153366,9.869357178426105e-18,-8.273219610134994e-17,-1.2905395753481997e-16,-0.004032328680068851,0.03740607436982667,-0.0031645966986913352,0.0,9.042207507351745e-21,0.0,-0.003387885470682306,0.03811690237068899,1.92532638720877e-07,5.149960319306146e-18,3.7947076036982794e-19,1.4232051120692743e-19,-0.012888592162657118,-0.01149192208113714,0.0011034594259983713,-0.00010740100276861618,0.00011626044748940164,-1.2925465206221863e-05,0.0006368084974999612,0.0,2.96795184460849e-21,0.0,-2.532821116396633e-06
72.25000000000074,1.0,3.3834507487883546e-21,-2.0,0.08420572371692024,0.07448560737756538,7.853979114651626,1.0124144688960198e-17,-8.270780155246901e-17,-1.2905011714007312e-16,-0.0046748343863993735,0.03681735949397394,-0.0031072335699207513,0.0,8.309978083597296e-21,0.0,-0.004032309095486908,0.037539699944909855,2.6996518798227953e-07,5.0957502106818585e-18,4.878909776185263e-19,7.680789493717368e-20,-0.01285011412661045,-0.011774297517054555,0.0011472625754116797,-0.00010992049472386828,0.00011590064692701873,-1.2577534734406098e-05,0.0006618273111100476,0.0,3.3834507487883546e-21,0.0,-2.519322856997519e-06
72.30000000000075,1.0,3.82186256239154e-21,-2.0,0.08397198328840513,0.07633301966265964,7.8539791319972485,1.0370800683200651e-17,-8.26861175090193e-17,-1.2904830989548636e-16,-0.005315171245666932,0.036214760822327524,-0.0030477697149048372,0.0,8.768236272063712e-21,0.0,-0.004674808570302169,0.03694824570188521,3.469124543187263e-07,4.9331198848090575e-18,4.336808689943004e-19,3.614489173505355e-20,-0.012806737185351164,-0.012051973432928298,0.0011892771003182805,-0.0001123969550804058,0.0001154967913212195,-1.2234078243308927e-05,0.0006857889620881089,0.0,3.82186256239154e-21,0.0,-2.5019772342815827e-06
72.35000000000075,1.0,4.079192189364276e-21,-2.0,0.08370622633996992,0.07815015876126724,7.8539791531599965,1.0616101424725497e-17,-8.265901245470716e-17,-1.2904876170663304e-16,-0.005953095489392966,0.035598518550103014,-0.002986297707922001,0.0,5.1465925394547215e-21,0.0,-0.005315138968704225,0.03634278197215207,4.2325495996919926e-07,4.906014830496914e-18,5.421010862427522e-19,-9.036222933640128e-21,-0.012758484874520679,-0.012324845444490196,0.001229440139656722,-0.00011482948447271646,0.00011504901839680165,-1.189560768479715e-05,0.0007086576908895723,0.0,4.079192189364276e-21,0.0,-2.4808144862831227e-06
72.40000000000074,1.0,4.295830452737725e-21,-2.0,0.08340857351287197,0.07993633659166026,7.853979178103712,1.084920489180988e-17,-8.262377588410137e-17,-1.2905237619580655e-16,-0.006588364617575241,0.03496887798828667,-0.0029229131169215537,0.0,4.3327652674689746e-21,0.0,-0.005953056541959101,0.03572355660786036,4.988743107503524e-07,4.6620693416876814e-18,7.047314121156765e-19,-7.22897834701071e-20,-0.01270538256364551,-0.012592811236326884,0.0012676918200089492,-0.00011721719958343147,0.00011455748238186982,-1.1562626875510632e-05,0.0007303994988247299,0.0,4.295830452737725e-21,0.0,-2.455870770745605e-06
72.45000000000074,1.0,4.073804604675957e-21,-2.0,0.08307915757233975,0.08169087773432532,7.853979206786382,1.1087729369756692e-17,-8.258853931349559e-17,-1.2905757202399348e-16,-0.007220737489067624,0.03432608945835923,-0.002857714349753493,0.0,-4.440516961235358e-21,0.0,-0.006588318810644422,0.03509082285330117,5.73653391455764e-07,4.770489558936226e-18,7.047314121156765e-19,-1.039165637385871e-19,-0.012647457429847651,-0.01285577059854881,0.0013039753433612133,-0.00011955923336795399,0.00011402235407436675,-1.12356307353477e-05,0.0007509821981455443,0.0,4.073804604675957e-21,0.0,-2.427188101172817e-06
