time,x,y,z,phi,theta,psi,vx,vy,vz,wx,wy,wz,xdot,ydot,zdot,phidot,thetadot,psidot,vxdot,vydot,vzdot,wxdot,wydot,wzdot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error,solve_time,metadata
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5707963267948966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9220403828512644e-06,3.0590220490012143e-07,-1.9510600228755948e-06,0.0,0.05
0.05,1.2579750588770366e-06,5.873827710801001e-13,-2.0021293627436877e-07,-1.0779437287903502e-14,2.308590568970324e-08,1.272484878889202e-06,1.0,0.0,0.0,0.0,0.0,1.5707963267948966,2.515950117754073e-05,1.1747655421602001e-11,-4.004258725487375e-06,-2.1558874575807002e-13,4.6171811379406477e-07,2.5449697577784036e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.1615325993168472e-05,5.423511635402706e-12,-3.0027936182429826e-06,1.4814268960028087e-05,0.0,-1.9510889615048654e-06,3.1052545068632753e-07,-1.9510600228755948e-06,0.0,2400.0
0.1,2.534962427347409e-06,1.1926544280634734e-12,-4.034517822049111e-07,-2.3370805423424277e-14,4.655462650319025e-08,2.549457778044939e-06,0.9999999999999706,6.289875294385183e-08,-1.0010646813718439e-08,-5.389718643951751e-16,1.154295284485162e-09,1.5707963904191404,2.5539747369407447e-05,1.2105433139667467e-11,-4.064776918610847e-06,-2.518273627104155e-13,4.6937441626974014e-07,2.5539457983114747e-05,-5.873827710030713e-13,1.2579750588770366e-06,-2.0021293627436877e-07,-1.0779437287903502e-14,2.308590568970324e-08,1.272484878889202e-06,1.1805346234296182e-05,6.334728201584136e-12,-3.0577864456149595e-06,1.4878988843784206e-05,-2.942091015256665e-14,-1.917676026792492e-06,3.052076260035008e-07,-2.00664506855297e-06,0.0,0.0
0.15000000000000002,3.1708113292480893e-06,1.2805470562105027e-12,-5.046502856236158e-07,-3.0936560278456565e-14,5.8282917429252643e-08,3.222536287275163e-06,0.9999999999999029,1.8964687428793312e-07,-3.018323607026875e-08,-1.5603707810068244e-15,3.4820266096447435e-09,1.5707965178920293,1.2716978038013604e-05,1.7578525629405865e-12,-2.0239700683740937e-06,-1.513150971006457e-13,2.3456581852124797e-07,1.3461570184604474e-05,-1.3539394953486423e-12,2.5349624268816255e-06,-4.034517851310063e-07,-2.0427978332232985e-14,4.6554626503191624e-08,2.549457778044939e-06,5.900179366698626e-06,3.8100028528551804e-12,-1.5371408943029265e-06,7.860964690683104e-06,-9.71445146547012e-14,-1.8208611950731614e-06,2.897990552599654e-07,-1.8791721796418415e-06,0.0,0.0
0.2,3.124384102126735e-06,7.380559060152259e-13,-4.972611611868988e-07,-3.0366634108327157e-14,5.748951981472386e-08,3.1980168682778907e-06,0.9999999999998085,3.481874406624622e-07,-5.541575090349201e-08,-2.546150939787758e-15,6.396172481107627e-09,1.5707966790188437,-9.285445424270862e-07,-1.0849823003905536e-11,1.477824887343395e-07,1.1398523402588185e-14,-1.586795229057577e-08,-4.903883799454473e-07,-1.8864800085131097e-12,3.170811327490581e-06,-5.046502966644653e-07,-1.971560317561867e-14,5.828291742925767e-08,3.222536287275163e-06,-3.9220389702247875e-07,-2.752238636083401e-13,8.659878927382044e-08,-2.5387422035094824e-07,-1.915134717478395e-13,-1.6927061645638394e-06,2.694025511297442e-07,-1.7180453653065086e-06,0.0,0.0
0.25,2.700649168873728e-06,-7.296263378033108e-14,-4.2982164446844517e-07,-2.4631264450669714e-14,4.974822229150321e-08,2.7610890452230747e-06,0.9999999999997166,5.044066456097478e-07,-8.027880996204194e-08,-3.041729270854264e-15,9.270648471844227e-09,1.5707968389196871,-8.47469866506014e-06,-1.6220370795911137e-11,1.3487903343690726e-06,1.1470739315314888e-13,-1.5482595046441301e-07,-8.73855646109632e-06,-1.838538804207111e-12,3.124384098945713e-06,-4.972611811709984e-07,-9.911566621330118e-15,5.7489519814732e-08,3.1980168682778907e-06,-3.876556838323341e-06,-2.8653511315622665e-12,9.8758925308189e-07,-5.055373150695044e-06,-2.8343993818680246e-13,-1.5673299713167528e-06,2.494482907720477e-07,-1.5581445218515455e-06,0.0,0.0
0.30000000000000004,2.2422052670162826e-06,-7.172939725314967e-13,-3.568580165622783e-07,-1.9596966184757043e-14,4.133643485821703e-08,2.2612360254532073e-06,0.9999999999996511,6.394391038541822e-07,-1.0176989343730265e-07,-2.993438196501593e-15,1.1758059586419808e-08,1.5707969769741394,-9.168878037148906e-06,-1.2886626775023312e-11,1.4592725581233372e-06,1.0068596531825341e-13,-1.6823574866572344e-07,-9.997060395397347e-06,-1.3101067527317213e-12,2.700649164888686e-06,-4.2982166950521427e-07,9.658214870534192e-16,4.9748222291511604e-08,2.7610890452230747e-06,-4.201916017046639e-06,-2.506400247524401e-12,1.073676990375929e-06,-5.792230183517609e-06,-3.489430966396867e-13,-1.4636084597965796e-06,2.3294049929805742e-07,-1.53929935908792e-06,0.0,0.0
0.35000000000000003,1.948605342438438e-06,-1.0115135644224867e-12,-3.101301219504253e-07,-1.8776722958342505e-14,3.591834626458094e-08,1.9752616043090552e-06,0.999999999999614,7.51549366995198e-07,-1.1961279558361573e-07,-2.6438991094275497e-15,1.3824881329330997e-08,1.5707970900359407,-5.871998491556889e-06,-5.8843918378198014e-12,9.345578922370603e-07,1.6404864528290764e-14,-1.0836177187272179e-07,-5.719488422883038e-06,-7.40541346445806e-13,2.242205262820317e-06,-3.5685804292626136e-07,6.990781741480867e-15,4.13364348582238e-08,2.2612360254532077e-06,-2.685131464740158e-06,-3.8331529916101544e-13,6.836957358039569e-07,-3.3071540979107753e-06,-3.8602454566216693e-13,-1.3832802616353431e-06,2.2015589404420164e-07,-1.426237557833332e-06,0.0,0.0
0.4,1.8489736332138152e-06,-1.029489583532741e-12,-2.9427324193734784e-07,-2.1897178072378048e-14,3.403613125760259e-08,1.8875931573841862e-06,0.9999999999995902,8.489796339027545e-07,-1.3511930302809888e-07,-2.217347393646842e-15,1.5620798642560305e-08,1.5707971887990209,-1.9926341844924613e-06,-3.5952038220508845e-13,3.1713760026154887e-07,-6.240910228071083e-14,-3.7644300139566955e-08,-1.7533689384973803e-06,-4.757420075529376e-13,1.94860533815113e-06,-3.1013014888966284e-07,8.531034315614147e-15,3.591834626458616e-08,1.9752616043090557e-06,-8.97535473678432e-07,1.5999826436373093e-12,2.2293520827003476e-07,-1.0012784953770964e-06,-4.097833183891453e-13,-1.3181145466468568e-06,2.097844505293473e-07,-1.3274744776747838e-06,0.0,0.0
0.45,1.868544215293243e-06,-9.540847640612921e-13,-2.9738800167552666e-07,-2.6402129707721243e-14,3.432503933350341e-08,1.8985155679598028e-06,0.999999999999562,9.414283153336162e-07,-1.498329665690885e-07,-1.837920665737094e-15,1.7322605205440644e-08,1.5707972831786787,3.914116415885534e-07,1.508096389428978e-12,-6.229519476357604e-08,-9.009903270686391e-14,5.778161518016338e-09,2.1844821151233314e-07,-5.643333092959278e-13,1.8489736286172325e-06,-2.942732708197926e-07,7.588534558194967e-15,3.4036131257606774e-08,1.8875931573841866e-06,2.019524254069513e-07,2.296242515611944e-12,-6.084031121985301e-08,1.4565711686369413e-07,-4.3798298321462426e-13,-1.258418133668891e-06,2.0028347060644092e-07,-1.233094819808045e-06,0.0,0.0
