time,vx,vy,vz,wx,wy,wz,x,y,z,phi,theta,psi,vxdot,vydot,vzdot,wxdot,wydot,wzdot,xdot,ydot,zdot,phidot,thetadot,psidot,fx,fy,fz,tauz,x_error,y_error,z_error,psi_error,solve_time,metadata
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10834236186348863,0.0,0.0,0.0,0.003689228654870298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0
0.02,0.0010834236186348862,0.0,0.0,0.0,3.689228654870298e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10831536430852798,0.0,0.0,0.0,0.0036886083982724813,0.0,0.0010834236186348862,0.0,0.0,0.0,3.689228654870298e-05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.03,0.0021665772617201658,0.0,0.0,0.0,7.377837053142779e-05,0.0,1.0834236186348862e-05,0.0,0.0,0.0,3.6892286548702977e-07,0.0,0.10828837348101872,0.0,0.0,0.0,0.003687931606945806,0.0,0.0021665772617201658,0.0,0.0,0.0,7.377837053142779e-05,0.0,0.05,0.0,0.0,0.0,1.0834236186348862e-05,0.0,0.0,0.0,0.0,0.0
0.04,0.003249460996530353,0.0,0.0,0.0,0.00011065768660088585,0.0,3.250000880355052e-05,0.0,0.0,0.0,1.1067065708013078e-06,0.0,0.10826138937928446,0.0,0.0,0.0,0.0036871982999177604,0.0,0.003249460996530353,0.0,0.0,0.0,0.00011065768660088585,0.0,0.05,0.0,0.0,0.0,3.250000880355052e-05,0.0,0.0,0.0,0.0,0.0
0.05,0.004332074890323198,0.0,0.0,0.0,0.00014752966960006347,0.0,6.499461876885405e-05,0.0,0.0,0.0,2.2132834368101664e-06,0.0,0.10823441200164924,0.0,0.0,0.0,0.0036864084970805867,0.0,0.004332074890323198,0.0,0.0,0.0,0.00014752966960006347,0.0,0.05,0.0,0.0,0.0,6.499461876885405e-05,0.0,0.0,0.0,0.0,0.0
0.06,0.00541441901033969,0.0,0.0,0.0,0.00018439375457086934,0.0,0.00010831536767208602,0.0,0.0,0.0,3.688580132810801e-06,0.0,0.10820744134643748,0.0,0.0,0.0,0.003685562219190841,0.0,0.00541441901033969,0.0,0.0,0.0,0.00018439375457086934,0.0,0.05,0.0,0.0,0.0,0.00010831536767208602,0.0,0.0,0.0,0.0,0.0
0.07,0.0064964934238040655,0.0,0.0,0.0,0.00022124937676277774,0.0,0.00016245955777548292,0.0,0.0,0.0,5.5325176785194946e-06,0.0,0.10818047741197404,0.0,0.0,0.0,0.003684659487868944,0.0,0.0064964934238040655,0.0,0.0,0.0,0.00022124937676277774,0.0,0.05,0.0,0.0,0.0,0.00016245955777548292,0.0,0.0,0.0,0.0,0.0
0.08,0.007578298197923806,0.0,0.0,0.0,0.00025809597164146717,0.0,0.00022742449201352356,0.0,0.0,0.0,7.745011446147273e-06,0.0,0.10815352019658418,0.0,0.0,0.0,0.0036837003255987166,0.0,0.007578298197923806,0.0,0.0,0.0,0.00025809597164146717,0.0,0.05,0.0,0.0,0.0,0.00022742449201352356,0.0,0.0,0.0,0.0,0.0
0.09,0.008659833399889648,0.0,0.0,0.0,0.00029493297489745435,0.0,0.0003032074739927616,0.0,0.0,0.0,1.0325971162561945e-05,0.0,0.10812656969859362,0.0,0.0,0.0,0.0036826847557269024,0.0,0.008659833399889648,0.0,0.0,0.0,0.00029493297489745435,0.0,0.05,0.0,0.0,0.0,0.0003032074739927616,0.0,0.0,0.0,0.0,0.0
0.1,0.009741099096875584,0.0,0.0,0.0,0.0003317598224547234,0.0,0.0003898058079916581,0.0,0.0,0.0,1.3275300911536488e-05,0.0,0.10809962591632843,0.0,0.0,0.0,0.0036816128024626787,0.0,0.009741099096875584,0.0,0.0,0.0,0.0003317598224547234,0.0,0.05,0.0,0.0,0.0,0.0003898058079916581,0.0,0.0,0.0,0.0,0.0
0.11,0.010822095356038869,0.0,0.0,0.0,0.0003685759504793502,0.0,0.00048721679896041395,0.0,0.0,0.0,1.6592899136083723e-05,0.0,0.10807268884811519,0.0,0.0,0.0,0.0036804844908771514,0.0,0.010822095356038869,0.0,0.0,0.0,0.0003685759504793502,0.0,0.05,0.0,0.0,0.0,0.00048721679896041395,0.0,0.0,0.0,0.0,0.0
